"","V1","V2","V3"
"1",-0.885793291924976,-1.75786267617451,-0.0137239076754397
"2",-0.903769285250393,-1.77111148132602,-0.0364270891747621
"3",-0.921745278575809,-1.78456242912208,-0.0589281280295352
"4",-0.939721271901225,-1.79821871598353,-0.0812238278189223
"5",-0.957697265226642,-1.81208345644842,-0.103311074004859
"6",-0.975673258552058,-1.82615967351743,-0.12518684358669
"7",-0.993649251877474,-1.84045028893777,-0.146848214817182
"8",-1.01162524520289,-1.85495811348664,-0.168292376919144
"9",-1.02960123852831,-1.86968583731855,-0.189516639738068
"10",-1.04757723185372,-1.88463602044446,-0.210518443262991
"11",-1.06555322517914,-1.89981108341302,-0.231295366945263
"12",-1.08352921850456,-1.91521329826593,-0.25184513874318
"13",-1.10150521182997,-1.93084477984035,-0.272165643819594
"14",-1.11948120515539,-1.94670747749103,-0.292254932819749
"15",-1.13745719848081,-1.96280316730391,-0.312111229657696
"16",-1.15543319180622,-1.97913344487062,-0.331732938741821
"17",-1.17340918513164,-1.99569971869001,-0.351118651573261
"18",-1.19138517845705,-2.01250320425885,-0.370267152655255
"19",-1.20936117178247,-2.02954491890816,-0.389177424656785
"20",-1.22733716510789,-2.04682567743566,-0.407848652780118
"21",-1.2453131584333,-2.06434608857762,-0.426280228288983
"22",-1.26328915175872,-2.08210655235544,-0.444471751162003
"23",-1.28126514508414,-2.10010725832374,-0.462423031844533
"24",-1.29924113840955,-2.11834818473805,-0.480134092081055
"25",-1.31721713173497,-2.13682909865032,-0.497605164819615
"26",-1.33519312506038,-2.15554955693148,-0.514836693189289
"27",-1.3531691183858,-2.17450890821049,-0.531829328561116
"28",-1.37114511171122,-2.1937062957102,-0.548583927712237
"29",-1.38912110503663,-2.21314066095137,-0.565101549121902
"30",-1.40709709836205,-2.23281074828773,-0.581383448436375
"31",-1.42507309168747,-2.25271511022737,-0.597431073147559
"32",-1.44304908501288,-2.27285211348868,-0.613246056537085
"33",-1.4610250783383,-2.29321994573293,-0.628830210943672
"34",-1.47900107166372,-2.31381662291074,-0.644185520416688
"35",-1.49697706498913,-2.33463999715538,-0.659314132822882
"36",-1.51495305831455,-2.3556877651528,-0.674218351476297
"37",-1.53292905163996,-2.37695747691663,-0.688900626363301
"38",-1.55090504496538,-2.39844654489513,-0.703363545035631
"39",-1.5688810382908,-2.42015225333739,-0.717609823244207
"40",-1.58685703161621,-2.44207176784694,-0.731642295385489
"41",-1.60483302494163,-2.46420214505303,-0.745463904830231
"42",-1.62280901826705,-2.48654034233226,-0.759077694201828
"43",-1.64078501159246,-2.50908322751682,-0.7724867956681
