"","V1","V2","V3"
"1",-0.768334920313558,-1.54737563918514,0.0107057985580205
"2",-0.757899000299635,-1.51410556161793,-0.00169243898134486
"3",-0.745213760445526,-1.48130956004602,-0.00911796084503125
"4",-0.73027920075123,-1.448883716814,-0.0116746846884596
"5",-0.713095321216749,-1.41669985669942,-0.00949078573407636
"6",-0.693662121842081,-1.38460719444304,-0.0027170492411237
"7",-0.671979602627228,-1.35243517114828,0.00847596589382182
"8",-0.648047763572188,-1.31999729093226,0.0239017637878791
"9",-0.621866604676962,-1.28709566413418,0.0433624547802587
"10",-0.593436125941551,-1.25352590577808,0.0666536538949812
"11",-0.562756327365953,-1.2190820351125,0.0935693803805973
"12",-0.52982720895017,-1.18356106794498,0.123906650044641
"13",-0.4946487706942,-1.14676707248097,0.157469531092572
"14",-0.457221012598045,-1.10851455200796,0.194072526811867
"15",-0.417543934661703,-1.06863110647118,0.233543237147777
"16",-0.375617536885176,-1.02695939768014,0.275724323909793
"17",-0.331441819268462,-0.983358493937408,0.320474855400484
"18",-0.285016781811562,-0.937704699125068,0.367671135501943
"19",-0.236342424514477,-0.889891982055699,0.417207133026746
"20",-0.185418747377205,-0.839832119055219,0.468994624300809
"21",-0.132245750399748,-0.787454651185478,0.522963150385983
"22",-0.0768234335821041,-0.732706741293044,0.579059874128836
"23",-0.0191517969242745,-0.675552998085604,0.637249404237055
"24",0.0407691595737412,-0.615975316449919,0.697513635597401
"25",0.102939435911943,-0.55397276606241,0.759851637886296
"26",0.16735903209033,-0.489561544157694,0.824279608338355
"27",0.234027948108904,-0.422774992842058,0.890830889059866
"28",0.302946183967664,-0.353663666099184,0.959556034034511
"29",0.374113739666609,-0.282295416165101,1.03052289549832
"30",0.447530615205741,-0.208755452969836,1.10381668338132
"31",0.523196810585059,-0.133146313966996,1.17953993513711
"32",0.601112325804562,-0.0555876656184359,1.25781231722756
"33",0.681277160864252,0.0237841563940976,1.33877016533441
"34",0.763691315764128,0.104816970986054,1.4225656605422
"35",0.848354790504189,0.187344044253401,1.50936553675498
"36",0.935267585084437,0.27118594554635,1.59934922462252
"37",1.02442969950487,0.356153035664142,1.6927063633456
"38",1.11584113376549,0.442048610848908,1.78963365668207
"39",1.2095018878663,0.528672662599,1.89033111313359
"40",1.30541196180729,0.615826135641023,1.99499778797355
"41",1.40357135558847,0.703315484745222,2.10382722643171
"42",1.50398006920983,0.790957260120704,2.21700287829895
"43",1.60663810267138,0.878582407381178,2.33469379796158
